20,3.91,4.1,3.9
18,3.69,3.68,3.66
16,3.35,3.37,3.25
14,3.06,3.00,3.07
12,2.60,2.72,2.63
10,2.34,2.35,2.37
8,1.94,2.03,1.94
6,1.59,1.60,1.59
4,1.41,1.41,1.38

